No.,Carry (yd),Roll (yd),Total (yd),Lateral (yd),Ball (mph),Spin (rpm),Spin Axis (deg),Launch V (deg),Launch H (deg),Time (s),Height (ft),Wind Speed (mph),Wind Direction (deg),Air Pressure (psi),Temperature (F),Humidity (%),Ball type
160,220.2,4.2,224.4,11.5 L,140,3500,0,20,3 L,7.4,135.3,0,0,14.69,77,50,Standard
161,207.8,2.3,210.2,10.9 L,140,5000,0,20,3 L,7.5,144,0,0,14.69,77,50,Standard
162,207.8,2.3,210.2,0,140,5000,0,20,0,7.5,144,0,0,14.69,77,50,Standard
163,214.5,2.6,217.1,0,143,5000,0,18,0,7.5,136.4,0,0,14.69,77,50,Standard
164,222.5,3.8,226.3,8.2 L,143,4000,8 L,18,0,7.3,129.6,0,0,14.69,77,50,Standard
165,222.5,3.9,226.4,42.8 L,143,4000,8 L,18,9 L,7.3,129.6,0,0,14.69,77,50,Standard
166,228,3.8,231.8,44 L,146,4000,8 L,18,9 L,7.5,134.8,0,0,14.69,77,50,Standard
167,235.9,5.6,241.6,44.6 L,146,3000,8 L,18,9 L,7.3,126.9,0,0,14.69,77,50,Standard
168,236,5.5,241.5,36.9 L,146,3000,0,18,9 L,7.3,127.5,0,0,14.69,77,50,Standard
169,236,5.5,241.5,0,146,3000,0,18,0,7.3,127.5,0,0,14.69,77,50,Standard
170,232.1,4.5,236.6,1 L,146,3500,1 L,18,0,7.4,131.6,0,0,14.69,77,50,Standard
171,231.8,4.3,236.1,9.1 L,146,3500,1 L,19,2 L,7.5,139,0,0,14.69,77,50,Standard
172,236,5.2,241.2,12.2 L,146,3000,4 L,19,2 L,7.4,134.8,0,0,14.69,77,50,Standard
173,241.7,5.1,246.9,10.5 L,149,3000,2 L,19,2 L,7.6,140.1,0,0,14.69,77,50,Standard
174,241.4,4.7,246.1,10.5 L,149,3000,2 L,20,2 L,7.7,147.8,0,0,14.69,77,50,Standard
175,236.8,3.8,240.7,5.2 L,149,3500,1 L,20,1 L,7.8,151.8,0,0,14.69,77,50,Standard
176,275.6,9.1,284.7,5.9 L,168,2500,1 L,12,1 L,7.1,103.4,0,0,14.69,77,50,Standard
177,275.6,9.1,284.7,6.9 L,168,2500,2 L,12,1 L,7.1,103.3,0,0,14.69,77,50,Standard
178,275.6,9.1,284.7,21.3 L,168,2500,2 L,12,4 L,7.1,103.3,0,0,14.69,77,50,Standard
179,279.1,9.4,288.5,21.6 L,171,2500,2 L,11,4 L,7,97.5,0,0,14.69,77,50,Standard
180,275.2,16.2,291.4,31.5 L,175,2000,3 L,8,6 L,6.1,67.4,0,0,14.69,77,50,Standard
181,202.2,2.7,204.9,22.5 L,136,5000,5 L,18,5 L,7.1,123.5,0,0,14.69,77,50,Standard
182,155.9,1.1,157,7.6 L,116,7000,10 L,21,0,6.4,107.3,0,0,14.69,77,50,Standard
183,155.9,1.1,157,34.5 L,116,7000,10 L,21,10 L,6.4,107.3,0,0,14.69,77,50,Standard
184,155.7,1.1,156.8,27 L,116,7000,0,21,10 L,6.4,107.8,0,0,14.69,77,50,Standard
185,109.3,0.5,109.8,23.1 L,90,9000,10 L,21,10 L,4.8,61.1,0,0,14.69,77,50,Standard
186,109.3,0.5,109.8,19 L,90,9000,0,21,10 L,4.9,61.3,0,0,14.69,77,50,Standard
187,106.5,3.9,110.4,18.5 L,90,9000,0,15,10 L,4.3,41.9,0,0,14.69,77,50,Standard
188,106.1,4.3,110.4,25.8 L,90,9000,20 L,15,10 L,4.2,40.8,0,0,14.69,77,50,Standard
189,106.1,4.3,110.4,7.6 L,90,9000,20 L,15,0,4.2,40.8,0,0,14.69,77,50,Standard
190,106.5,3.8,110.3,0,90,9000,0,15,0,4.3,41.9,0,0,14.69,77,50,Standard
